K3o: [-369.9399999999999, 568]
A8o: [-835.3200000000003, 1780]
T9s: [2036.5799999999986, 1099]
53o: [-658.8399999999998, 462]
T6o: [-285.7199999999999, 517]
K5o: [-714.8999999999997, 657]
98o: [-1403.220000000001, 1342]
85s: [-437.75999999999965, 462]
K9o: [-1551.7399999999998, 1329]
86s: [-729.1, 636]
T8o: [269.46000000000015, 925]
QTo: [-1035.2800000000013, 2052]
74o: [-653.8199999999999, 434]
A5s: [1872.9399999999996, 864]
98s: [-365.7999999999996, 907]
87o: [-1725.4400000000007, 1111]
KK: [16696.979999999992, 2751]
KTo: [-1607.8799999999997, 2143]
ATo: [-3684.779999999998, 2816]
KJo: [-3643.220000000002, 2647]
A5o: [-1260.2800000000002, 1461]
AQo: [-7210.620000000001, 3663]
A7o: [-917.6199999999999, 1630]
KQs: [2969.639999999999, 1228]
74s: [409.84000000000015, 401]
Q9s: [-674.9799999999996, 823]
77: [5306.740000000002, 1932]
96s: [104.80000000000011, 501]
Q9o: [-1296.8000000000002, 1263]
T8s: [50.65999999999997, 734]
ATs: [49.27999999999929, 1288]
QJs: [-755.7600000000003, 1232]
J8o: [-1361.4600000000007, 999]
Q7o: [-535.6400000000002, 661]
97s: [89.75999999999982, 694]
J4o: [-1559.3600000000004, 467]
KJs: [-384.40000000000055, 1196]
K7s: [-663.8199999999997, 640]
K7o: [-910.1999999999998, 827]
AKo: [-6257.520000000002, 4187]
54s: [-437.41999999999996, 753]
33: [5409.46, 1537]
K8o: [-1266.8999999999999, 942]
Q3s: [-1021.9199999999998, 395]
63o: [-730.6400000000002, 429]
T7s: [1895.7799999999993, 631]
KQo: [-23.920000000000286, 3004]
88: [3496.96, 2038]
J9o: [-1524.2400000000002, 1368]
22: [2957.0199999999995, 1383]
QJo: [-3825.9000000000015, 2645]
AQs: [-589.04, 1450]
QQ: [7634.12, 2614]
K6o: [-205.6199999999998, 712]
55: [3732.34, 1675]
JJ: [7602.640000000001, 2526]
AJo: [-2348.5600000000013, 3330]
A6o: [-2757.9599999999996, 1444]
T9o: [-686.3999999999994, 1498]
K4o: [-621.0399999999997, 590]
A4s: [-513.7400000000001, 940]
T2s: [-125.35999999999996, 283]
85o: [-347.48, 468]
A2s: [861.5799999999999, 888]
AJs: [-691.2000000000007, 1317]
99: [2572.6000000000004, 2160]
J2o: [-493.01999999999987, 408]
AA: [34442.320000000014, 2668]
K2o: [-765.9000000000001, 534]
84o: [-186.99999999999991, 401]
Q5o: [-664.9000000000001, 493]
K5s: [228.3, 540]
JTs: [750.2799999999993, 1127]
54o: [-334.22, 715]
Q6o: [-714.8999999999999, 586]
Q8o: [-1077.92, 899]
JTo: [-609.5600000000017, 2171]
82s: [-173.62, 233]
J2s: [724.6200000000001, 303]
J7s: [152.29999999999987, 547]
A9o: [-2256.4800000000014, 1954]
A8s: [-282.25999999999993, 1022]
64o: [213.82000000000022, 543]
T4s: [58.9200000000001, 300]
95s: [-58.62, 371]
75o: [-265.18000000000006, 586]
65o: [-790.1000000000004, 849]
72s: [-594.04, 239]
K3s: [608.04, 482]
Q4o: [-823.7599999999999, 490]
76s: [1349.4400000000003, 834]
62o: [86.20000000000013, 333]
A3s: [-844.3400000000001, 906]
J5o: [-1095.1399999999999, 498]
Q3o: [-526.1599999999997, 469]
63s: [-658.0999999999998, 385]
82o: [-621.38, 326]
73o: [-605.44, 358]
A3o: [-2580.580000000001, 1236]
J3s: [-420.98, 327]
Q5s: [-37.24000000000005, 397]
A6s: [-947.6400000000006, 946]
A7s: [603.6000000000004, 973]
J8s: [237.4999999999999, 736]
87s: [-875.4199999999998, 850]
J7o: [-1062.58, 647]
97o: [-1313.6600000000003, 812]
Q2s: [-696.5999999999999, 350]
QTs: [-1410.899999999999, 1066]
84s: [-326.64, 341]
K9s: [437.09999999999957, 802]
A4o: [-818.1800000000001, 1297]
A2o: [-1106.3000000000002, 1122]
72o: [-159.82000000000002, 368]
76o: [-1899.5199999999998, 904]
92o: [9.280000000000172, 341]
TT: [2017.6599999999999, 2425]
Q8s: [-65.46000000000015, 651]
66: [3151.8799999999997, 1741]
53s: [28.63999999999982, 405]
T3o: [-96.53999999999999, 392]
83o: [-596.4800000000002, 325]
A9s: [1530.5599999999997, 1108]
T4o: [-658.5599999999998, 389]
J6o: [-277.5399999999999, 507]
94o: [-182.9, 341]
44: [5085.24, 1469]
32s: [24.360000000000106, 403]
T3s: [-134.45999999999998, 282]
65s: [-1936.7800000000002, 794]
T6s: [-527.2400000000001, 434]
Q7s: [-530.1800000000001, 536]
43o: [-1090.1000000000004, 526]
96o: [-755.0799999999998, 549]
52s: [-21.98000000000019, 320]
92s: [-245.71999999999994, 225]
Q2o: [-552.9400000000005, 409]
42s: [-185.53999999999996, 340]
Q6s: [1061.9799999999998, 444]
95o: [-379.44, 462]
83s: [-49.420000000000066, 240]
J9s: [599.0999999999997, 948]
AKs: [-674.3399999999999, 1490]
T2o: [-551.3799999999999, 400]
75s: [-92.67999999999998, 538]
KTs: [1027.2599999999995, 1080]
86o: [-478.0200000000003, 667]
T7o: [-219.23999999999992, 665]
52o: [-368.2800000000001, 410]
32o: [-220.15999999999997, 404]
64s: [222.36, 491]
K8s: [-582.1199999999999, 676]
Q4s: [142.03999999999996, 394]
T5o: [-60.60000000000005, 443]
43s: [693.8399999999999, 477]
K6s: [1156.9, 543]
J5s: [64.42000000000007, 378]
J6s: [34.119999999999834, 417]
K4s: [-433.91999999999996, 537]
73s: [-594.5600000000001, 269]
J4s: [45.58000000000001, 329]
T5s: [107.03999999999988, 339]
93o: [-395.14000000000016, 312]
K2s: [340.09999999999985, 446]
93s: [-86.48000000000005, 276]
62s: [-137.17999999999995, 253]
J3o: [-963.8200000000004, 391]
42o: [-840.7999999999998, 410]
94s: [244.08, 246]
